stid,name,latitude,longitude,prid,value_type,mean_val,amplitude,ramp,total_variation,excess_tv,winter_floor,summer_ceiling,spring_30d_gain,spring_rise_days,autumn_30d_drop,autumn_fall_days,spring_ramp,spring_30d_gain_rel,autumn_ramp,autumn_30d_drop_rel,trough_day,peak_day,winter_floor_eff,autumn_rate,spring_rate,autumn_rate_abs,spring_rate_abs,eff_trough_day,livable
s47663,尾鷲,34.068333,136.193333,53,sunshine_normal,5.404,0.4182,0.0279,10.173,4.853,5.835,4.987,1.947,20.0,2.247,13.0,0.0933,0.7318,0.1133,0.8446,171,93,11.161,0.0485,0.3569,0.375,2.754,277,1
s47666,石廊崎,34.603333,138.841667,50,sunshine_normal,5.909,0.4878,0.0344,12.573,5.68,5.999,5.576,2.72,18.0,2.587,278.0,0.1,0.7892,0.1267,0.7505,175,226,11.321,0.2295,0.2893,2.415,3.044,331,1
s47668,網代,35.045,139.091667,50,sunshine_normal,5.005,0.446,0.0332,12.133,6.573,4.849,5.17,2.267,19.0,2.32,22.0,0.0867,0.8153,0.1267,0.8345,172,216,9.058,0.1449,0.2585,1.431,2.554,335,1
s47670,横浜,35.438333,139.651667,46,sunshine_normal,5.534,0.4482,0.0368,13.427,7.533,6.11,5.488,2.36,20.0,2.18,19.0,0.1,0.8009,0.1267,0.7398,172,218,11.284,0.1155,0.1837,1.09,1.735,332,1
s47672,館山,34.986667,139.865,45,sunshine_normal,5.46,0.5143,0.0364,13.293,6.627,5.6,5.704,2.66,19.0,2.173,22.0,0.1,0.798,0.1267,0.652,171,218,10.459,0.1381,0.1763,1.513,1.932,332,1
s47674,勝浦,35.15,140.311667,45,sunshine_normal,5.339,0.5177,0.0365,13.307,6.52,5.518,5.327,2.933,15.0,2.267,23.0,0.1333,0.8644,0.1267,0.668,175,219,10.264,0.1725,0.1871,1.855,2.012,329,1
s47675,大島,34.748333,139.361667,44,sunshine_normal,5.039,0.4257,0.0313,11.44,6.093,4.998,4.891,2.353,15.0,2.413,21.0,0.0933,0.8803,0.1267,0.9027,175,217,9.401,0.1625,0.2531,1.449,2.257,340,1
s47677,三宅島,34.123333,139.52,44,sunshine_normal,4.674,0.809,0.0379,13.827,5.547,3.783,5.807,2.713,124.0,2.887,22.0,0.1067,0.6554,0.1133,0.6973,288,220,7.245,0.1749,0.1976,2.493,2.816,342,1
s47678,八丈島,33.121667,139.778333,44,sunshine_normal,3.962,0.8309,0.0355,12.947,5.293,2.937,4.319,3.4,14.0,2.6,91.0,0.14,0.8885,0.12,0.6794,173,215,5.735,0.2773,0.3108,3.225,3.615,14,1
s47682,千葉,35.601667,140.103333,45,sunshine_normal,5.334,0.4284,0.0355,12.96,7.547,6.053,5.16,2.12,22.0,2.167,24.0,0.0933,0.7833,0.12,0.8005,171,216,11.133,0.125,0.1967,1.048,1.649,328,1
s47684,四日市,34.94,136.58,53,sunshine_normal,5.448,0.3559,0.0277,10.107,5.24,4.952,5.348,2.287,12.0,2.213,31.0,0.1133,0.9397,0.1067,0.9096,178,217,9.275,0.2107,0.3787,2.109,3.792,356,1
s47690,奥日光（日光）,36.738333,139.5,41,sunshine_normal,4.838,0.641,0.0256,9.333,2.64,5.35,3.621,1.36,189.0,2.493,17.0,0.0667,0.4064,0.12,0.745,176,95,9.6,0.1402,0.3927,1.219,3.415,347,1
s47740,西郷,36.203333,133.333333,68,sunshine_normal,4.715,0.9879,0.0447,16.333,6.467,2.467,5.52,1.873,42.0,2.66,159.0,0.08,0.3797,0.12,0.5392,17,141,4.493,0.285,0.3484,4.514,5.519,15,1
s47741,松江,35.456667,133.065,68,sunshine_normal,4.676,0.9758,0.044,16.067,6.133,2.405,5.591,2.86,51.0,1.887,88.0,0.1467,0.5758,0.08,0.3799,18,213,4.462,0.301,0.3325,4.682,5.173,15,1
s47742,境,35.543333,133.235,69,sunshine_normal,4.675,1.0358,0.0453,16.533,5.907,2.249,5.776,2.9,49.0,1.993,86.0,0.1533,0.5458,0.0867,0.3752,14,213,4.161,0.3021,0.3414,4.901,5.539,12,1
s47744,米子,35.433333,133.338333,69,sunshine_normal,4.758,0.9456,0.0435,15.867,6.0,2.501,5.705,2.92,52.0,1.833,86.0,0.16,0.5919,0.08,0.3716,17,213,4.636,0.2909,0.3381,4.533,5.269,16,1
