stid,name,lat,n_days,winter_mean_h,interannual_cv_pct,dark2_pct,spell_cvar80_t1,spell_cvar80_t2,spell_cvar80_t3,spell_cvar80_1991_2005,spell_cvar80_2006_2020
s47600,輪島,37.39,10953,2.517,10.48,59.21,9.50,21.00,28.00,22.00,19.33
s47602,相川,38.028333,10931,2.608,9.16,56.17,8.83,20.00,28.00,16.67,22.33
s47604,新潟,37.893333,10941,2.763,7.43,52.18,8.33,13.67,19.83,13.67,13.67
s47605,金沢,36.588333,10957,3.108,8.46,51.76,8.50,11.50,17.33,11.33,11.67
s47606,伏木,36.791667,10952,3.017,8.68,51.63,9.83,12.50,15.67,11.33,13.33
s47607,富山,36.708333,10945,3.103,7.92,51.48,8.67,11.17,14.67,10.33,12.00
s47610,長野,36.661667,10949,4.728,5.96,27.02,4.50,5.67,6.17,5.33,6.00
s47612,高田,37.106667,10925,2.993,9.45,52.51,7.33,11.83,14.17,11.00,12.67
s47615,宇都宮,36.548333,10958,6.363,6.03,19.74,4.67,5.00,5.83,4.00,6.00
s47616,福井,36.055,10951,3.156,8.84,50.29,7.50,12.17,16.83,9.67,14.67
s47617,高山,36.155,10927,3.612,6.99,39.11,5.50,9.17,13.17,10.00,7.67
s47618,松本,36.246667,10955,5.676,6.18,20.71,4.67,5.00,5.33,5.33,4.33
s47620,諏訪,36.045,10946,5.969,5.89,18.88,3.33,4.33,5.00,3.67,4.67
s47622,軽井沢,36.341667,10937,5.880,6.69,17.61,4.33,5.17,5.50,5.67,4.67
s47624,前橋,36.405,10957,6.665,5.08,16.17,3.83,4.33,4.33,4.33,4.33
s47626,熊谷,36.15,10956,6.562,5.90,19.15,4.33,5.17,5.50,4.67,5.33
s47629,水戸,36.38,10954,5.845,7.01,23.47,4.33,5.17,5.33,5.00,5.33
s47631,敦賀,35.653333,10956,3.038,9.91,51.96,9.67,11.50,16.17,10.00,12.67
s47632,岐阜,35.4,10953,5.542,5.07,22.04,4.00,4.67,5.33,5.00,4.33
s47636,名古屋,35.166667,10957,5.865,5.37,20.38,3.33,4.33,4.83,4.00,4.67
s47637,飯田,35.523333,10955,5.603,6.32,23.49,3.83,5.00,5.83,5.00,5.00
s47638,甲府,35.666667,10958,6.547,5.61,16.39,4.50,5.17,5.33,5.33,4.67
s47640,河口湖,35.5,10948,6.311,7.06,19.06,5.17,6.33,6.67,5.67,7.00
s47641,秩父,35.99,10941,6.242,6.13,18.22,4.83,5.33,5.33,5.00,5.67
s47646,つくば（館野）,36.056667,10958,6.019,6.76,23.95,4.83,5.50,6.67,5.33,5.67
s47648,銚子,35.738333,10956,5.365,8.72,28.74,6.17,6.83,7.00,6.33,7.00
s47649,上野,34.761667,10932,4.445,7.79,28.12,5.33,5.83,7.83,6.67,5.00
s47651,津,34.733333,10954,5.538,5.73,21.07,3.50,4.83,5.50,5.67,3.67
s47653,伊良湖,34.628333,10947,5.942,5.56,20.67,3.83,5.00,5.50,5.33,4.67
s47654,浜松,34.753333,10953,6.398,6.17,20.03,4.33,4.50,5.33,4.67,4.33
s47655,御前崎,34.603333,10953,6.337,7.51,20.80,4.17,5.50,5.83,6.33,4.67
s47656,静岡,34.975,10957,6.341,7.13,20.54,4.50,5.00,5.50,5.00,5.00
s47657,三島,35.113333,10951,5.728,8.06,23.23,5.33,6.17,7.00,6.67,5.67
s47662,東京,35.691667,10958,5.691,6.68,24.81,5.33,5.83,6.00,5.00,6.67
s47663,尾鷲,34.068333,10935,5.757,5.86,21.40,5.00,5.50,5.83,6.33,4.67
s47666,石廊崎,34.603333,10939,5.834,7.61,22.59,5.00,5.83,6.50,6.33,5.33
