rank,stid,name,latitude,longitude,prid,overall_score,stability_score,transition_score,mean_val,amplitude,ramp,winter_floor,spring_30d_gain,autumn_30d_drop,spring_rise_days,autumn_fall_days
134,s47428,江差,41.866667,140.123333,24,4.106,3.923,0.183,3.924,1.228,0.0367,1.202,2.127,2.5,37.0,137.0
135,s47754,萩,34.41,131.405,81,4.113,3.509,0.604,4.759,0.9239,0.0464,2.637,3.533,1.94,62.0,90.0
136,s47587,酒田,38.908333,139.843333,35,4.139,5.207,-1.067,4.212,1.2929,0.044,1.322,2.027,2.2,50.0,149.0
137,s47678,八丈島,33.121667,139.778333,44,4.221,1.303,2.918,3.962,0.8309,0.0355,2.937,3.4,2.6,14.0,91.0
138,s47604,新潟,37.893333,139.018333,54,4.246,4.402,-0.155,4.507,1.1239,0.0452,1.993,1.92,2.653,52.0,151.0
139,s47742,境,35.543333,133.235,69,4.298,3.959,0.339,4.675,1.0358,0.0453,2.249,2.9,1.993,49.0,86.0
140,s47605,金沢,36.588333,136.633333,56,4.367,4.03,0.337,4.697,1.0402,0.0454,2.184,3.107,1.927,56.0,82.0
141,s47401,稚内,45.415,141.678333,11,4.39,3.864,0.526,3.961,1.239,0.0369,1.403,2.073,2.58,37.0,123.0
142,s47818,雲仙岳,32.736667,130.261667,84,4.401,0.299,4.103,3.942,0.6522,0.0334,3.055,2.727,2.92,14.0,14.0
143,s47755,浜田,34.896667,132.07,68,4.421,3.977,0.444,4.828,1.024,0.0459,2.306,3.173,1.98,57.0,87.0
144,s47421,寿都,42.795,140.223333,16,4.555,4.423,0.132,3.823,1.4199,0.0347,0.939,2.433,2.287,38.0,127.0
145,s47404,羽幌,44.363333,141.7,13,4.607,3.59,1.016,4.23,1.2756,0.0356,1.711,1.967,2.353,43.0,38.0
146,s47602,相川,38.028333,138.24,54,4.888,5.115,-0.227,4.456,1.2126,0.0464,1.633,2.08,2.553,49.0,155.0
147,s47574,深浦,40.645,139.931667,31,4.933,5.022,-0.09,3.929,1.4011,0.0391,0.978,2.52,2.28,43.0,141.0
148,s47831,枕崎,31.271667,130.291667,88,4.961,1.521,3.44,5.247,0.7532,0.0422,3.837,4.38,2.353,12.0,90.0
149,s47406,留萌,43.945,141.631667,13,5.123,3.778,1.345,4.147,1.3028,0.0355,1.534,2.14,2.393,39.0,40.0
150,s47912,与那国島,24.466667,123.01,91,5.484,4.736,0.748,4.321,1.5337,0.0377,1.794,3.32,2.06,76.0,67.0
151,s47817,長崎,32.733333,129.866667,84,5.638,1.44,4.199,5.103,0.7002,0.0419,3.608,4.047,2.84,11.0,95.0
152,s47600,輪島,37.39,136.895,56,5.936,5.672,0.264,4.331,1.2736,0.0483,1.546,2.04,2.767,44.0,160.0
153,s47812,佐世保,33.158333,129.726667,84,6.184,1.157,5.026,5.269,0.6405,0.0424,3.861,4.013,3.167,11.0,90.0
154,s47805,平戸,33.36,129.55,84,7.52,2.249,5.271,4.894,0.7089,0.0458,3.338,4.113,3.26,11.0,96.0
